"l","m","n","a","omega1"
0,0,0,0.05,"0.05147472074767255792377558004367568383989888919348816807297003828084 + 0.00137510357066466571702763962013520334822913709622270312749395274089i"
0,0,0,0.1,"0.05148911814849098379539998295318417971559596361301500814560466554638 + 0.00157097684102434289894218138136607974639607693080804791102332457092i"
0,0,0,0.15,"0.05151115262661133828657995958755964303148708140033057248893564571553 + 0.00190014819181083434528954846847640042149661890323742761521933994272i"
0,0,0,0.2,"0.05153775643390061565508607710602362782946984340019478970124579154471 + 0.00236672852151779213841246870916232806486741759064356664821405672583i"
0,0,0,0.25,"0.05156437496883151564094427372061111337605872505634165048132831751286 + 0.002976537846109546911971366800348679980392403276802658515177700088i"
0,0,0,0.3,"0.05158468992071382343789193846450148424325614569830168004827996511165 + 0.00373714420022821805155641386277152245819740999061190125836658027335i"
0,0,0,0.35,"0.05159024343269975196848938311003753521870568309430858268805366346322 + 0.00465786458490246793490921746548326285377214788078148517437762701014i"
0,0,0,0.4,"0.05156996201771724975502684825632282188642567644237056209609875957454 + 0.00574966456524912001779792738998803756844212319931600972601216142983i"
0,0,0,0.45,"0.05150961057923888569708417711211643480706921398921593515694272170583 + 0.00702483614508396999240433793569510940496443865929556078240880082156i"
0,0,0,0.5,"0.05139129872343552207907631360355563120132414814230444495510917261499 + 0.00849622527891427924521159474619698121187960627095780275842108517399i"
0,0,0,0.55,"0.05119341214112584689800475465826752761002041199513348088326185372882 + 0.01017557450233310798571430349974884268056267580124513188762190899869i"
0,0,0,0.6,"0.05089202312971798661557382860765150018783753983823074384383265940175 + 0.01207016105663077432746948368324069845622757246712701549835716249211i"
0,0,0,0.65,"0.05046673915298315203228502354220542551257129141387094797268112951246 + 0.01417623977901147198530684832245172981114692176695431022181117498732i"
0,0,0,0.7,"0.04991955576150311187227571533734213352192744683400630735293573203251 + 0.0164669421223345145531464188562854394685245256307135216475243522666i"
0,0,0,0.75,"0.0493330367282713721996010874948012258389809368288818829307139078939 + 0.0188732954348012390134818388057888221450460978985815835389414013561i"
0,0,0,0.8,"0.0490558328372918712549989960802379888577099344765063925732329117444 + 0.0212763558259182415679865090625307056141829666689166110407097347956i"
0,0,0,0.85,"0.0503397994063615986419544419697730498908889779364430985953199539466 + 0.0236962226275767985821408622005950456772145769695203067899049921174i"
0,0,0,0.9,"0.0576180123138228909994955393881527967191030991196526409733625609674 + 0.0284358078840156901056565532585115696340064686542709745219107779567i"
0,0,0,0.91,"0.0607078411579464727377531706148388857115178698892777537793476163046 + 0.0307870117116532262740380403435558809489120025549229545665672826371i"
0,0,0,0.92,"0.0645931098382681179591007147677955325174044409045973626628820890635 + 0.0344328212357081484208944221684479537247855402712071636513899234836i"
0,0,0,0.93,"0.0692112340554440520297759474223152713892178651830507345940978873425 + 0.0402288960177499375235097702613481893951070985070805477321159831276i"
0,0,0,0.94,"0.0740143393066639784082932997393861286032366264828670125653570811497 + 0.0495484737482363777473953409527748701389834406379657533516282394816i"
0,0,0,0.95,"0.0771159319928224577454756293164685941209268938138765354045139680473 + 0.0643512265512237307315444021483242758679769759560066256173953916339i"
0,0,0,0.96,"0.073343004365411793729756392559949192395716052082008557121456072195 + 0.086225867661763440391607170160006885767506348407725125206210630844i"
0,0,0,0.97,"0.051874973251452516688612909580232947094940490752924723900636273228 + 0.110659868526942775144844332039492952281580540153307413226670589037i"
0,0,0,0.98,"0.007784052695382568016115980518647552951305578534980778207937009827 + 0.110954790057000346679965126832395233619966711057023221431075268874i"
0,0,0,0.99,"-0.001436959679087754806964323974114704071211710258513803399368194685 + 0.072001383023110507607025119187034474625049893166824496349786844706i"
1,-1,0,0.05,"0.06697909643788490300532894648542909540367287110296557962888444100559 + 0.00709881238949480463513233848085644421601447199374203246076725042697i"
1,-1,0,0.1,"0.063184964875209394620189845603587120372940587440049774472018662915 + 0.00727496748746919329635279054263478992492601527313399605648123467371i"
1,-1,0,0.15,"0.05952475292767009021873680711676873496065888372508491794488126488873 + 0.00751357963978025510549873399036509478851013043547024144161492203265i"
1,-1,0,0.2,"0.05597901537587856359693000962481980611287387100732745498082183198194 + 0.00781370449009428822995186559041481943172287961848840463239708531578i"
1,-1,0,0.25,"0.05252741868700118955298852491795182816252799901193741183475532966429 + 0.0081729141087371368660478732903417809771484479328669449413719010655i"
1,-1,0,0.3,"0.04914852538371251581623861602868478664064159371646688029310005317683 + 0.00858699736575622423089721017545682292292242644395963118539208480681i"
1,-1,0,0.35,"0.04581955312042693668769527601960295228078060963089233777735825244813 + 0.00904944396473697439080029377279745192170244221704649221843488177861i"
1,-1,0,0.4,"0.04251614828016975666260955049627712777530494302803038720897891943078 + 0.00955066106233814454027660885531731240370118734174168320740623333004i"
1,-1,0,0.45,"0.0392122385767305810918585126787250201794516069912587151706358430851 + 0.01007684514488590112836653911211428763500295954878421709630373439765i"
1,-1,0,0.5,"0.03588007587837159318709007434451290090987987932878507357101545412258 + 0.01060840359643872914737406442209616225534064103001582481630887313805i"
1,-1,0,0.55,"0.03249066247616143212219384872714050362494443022879939616675251252042 + 0.01111779577435403074438985734100519502438945115850698713234502209364i"
1,-1,0,0.6,"0.02901489046102692937687639966948899070568544331798965632116612816709 + 0.01156666007885910617785212947861165190601930495204086432219123345661i"
1,-1,0,0.65,"0.02542593429350884154878243631533082172592078603226959560473169816238 + 0.0119021565183705466441910890325299215620187257244407061172745596226i"
1,-1,0,0.7,"0.02170370932287249135829459281889632320650636147788507182724804884981 + 0.01205268480680228610474866287244177975560742512975449435312049167702i"
1,-1,0,0.75,"0.01784237421678401131318840409779363127777631551530541239814910542364 + 0.01192372482148690138538797934640044068664546902177860351242641164049i"
1,-1,0,0.8,"0.01386113468814783694529953431434152580175866255968791498615863782026 + 0.01139566183988896550784037025142863493100859088037800610013174529156i"
1,-1,0,0.85,"0.00981411515036848505609341984620192265310112952338758052215832598214 + 0.01032610674334202549117108575988528110665240890862237492746702017614i"
1,-1,0,0.9,"0.00577699709869704973328518977382819895064880241205347469376883693049 + 0.00854943044333238075778598670170489299561050050002272597918311136141i"
1,-1,0,0.91,"0.0049736714961215561807333133797769582570482038677795689118980684004 + 0.00808988240332955778359056642143962010798765343508698701622107899792i"
1,-1,0,0.92,"0.00416968741159446403768966252100165978985028404156490823810507663179 + 0.00758869644066934006695528849075168199988651193622213435217349747035i"
1,-1,0,0.93,"0.00336233596223325762758670982534974668463426947190045453133725835527 + 0.00704063685694295082628362191236331063945294231106987019409385752786i"
