"l","m","n","a","omega1"
2,0,0,0.97,"0.01840461522742706933818927514128770576031501055522329887993104063781 + 0.02819350129553623753539884711189836349645864664043248436071545665443i"
2,0,0,0.98,"0.0220046810706216163299525403683939564516853499371907891148339325196 + 0.0307921831298293956216940493357194162561575263533130396177917940113i"
2,0,0,0.99,"0.026343476143005983796222883397587019105816939249094585624385154868 + 0.033872926011795832548296686004859999868343566626876162017618018725i"
2,1,0,0.05,"-0.001350429326378911194109984668603335227265086854558856912923930627082962 - 0.00115683170565008780620272215391110308761722891272805187084065636919869i"
2,1,0,0.1,"-0.00284008015276963032345209369466317904504336930183344301090664185713455 - 0.0023432601911482171038113604334643046725870519308586682364884069303065i"
2,1,0,0.15,"-0.00447481796627946177060136371661564236708478336077453259681095480670231 - 0.00356758897525347465584292564724499795549645303390527819566486922919386i"
2,1,0,0.2,"-0.0062609408590690862439415356157518476986893061021398622262736287903265 - 0.0048397899666701206457559538181129965554358051054385926863758806175784i"
2,1,0,0.25,"-0.008205208918201630402687431656098079996877843038677284424105379598519 - 0.0061721934164624419965749211606608425578512128618738520104529569396305i"
2,1,0,0.3,"-0.0103148542648281126099772433412704113089327008728583604362232098169388 - 0.0075804863280013075276459689574681313134087706455685434817977891984042i"
2,1,0,0.35,"-0.0125975603274219387781258805824826557116805506481404627899811753763194 - 0.0090851979779911221796365059310177867497020154764543908408236298804698i"
2,1,0,0.4,"-0.0150613895973278848475353778277791498690388363322274559289322533752135 - 0.0107139733739369199473212807356420943357437447693433628074632770143518i"
2,1,0,0.45,"-0.017714621617107724358589722803893475381949245856545291905550381163509 - 0.0125051585247074944633851449479108333693580427548523321868265026977714i"
2,1,0,0.5,"-0.020565427749570721043331303607291243953425952501477421530220538140939 - 0.014513644974714377470208253049969972413659609700539948898137548000372i"
2,1,0,0.55,"-0.023621232771069642609510630058161102714011626028161906345823587137794 - 0.016820763002818256296442911004275995756092296617052675383239000306289i"
2,1,0,0.6,"-0.026887431976794327483285154000823801455567029828890392662297569124992 - 0.019551778351852212097597956994490825209434004745248959965148582424967i"
2,1,0,0.65,"-0.030364658123806593427205199284441580984196336019844990608344009070754 - 0.022908491594100919207288336096832016560026296581434888256354864075236i"
