"l","m","n","a","omega1"
2,2,1,0.05,"-0.0038955373905831876622269579211008669091322299664891128206763697810875 - 0.0079094336583355875782867566179216031747217750122879839767302613027314i"
2,2,1,0.1,"-0.008048267539327649341607883425378472959622507502732077204538437562997 - 0.016567121915621055424575110974721394382094800801385761715845160236284i"
2,2,1,0.15,"-0.012453312868792922726996114582540173602732855197407392582855869980815 - 0.026088954725005643568928214929200670658323004329596512836251276934979i"
2,2,1,0.2,"-0.017110190015698614007807873005251666606866139285635039199381326829746 - 0.0366188697045185946680426624502250034273790133309447956865509972381i"
2,2,1,0.25,"-0.022024751851668331705422088468262742958892921432837241547494287727572 - 0.048337163496801111674302769091293278339583410107501578064599709700226i"
2,2,1,0.3,"-0.02721242722721580777785053665921348817237747964921260098664645413025 - 0.06147244212069630191392290071486320357264600996928942916247830676628i"
2,2,1,0.35,"-0.03270365905798894354698584153687882047441047842831408405959928980732 - 0.0763191259645907356356760696354225338023751750387920066557719611904i"
2,2,1,0.4,"-0.03855314119496837999597838775293927075114122218044890121146025338608 - 0.09326370859266498333817448057228491563488240238893787236209726583641i"
2,2,1,0.45,"-0.04485579247136563068185004890504390025778719026568283469693012335232 - 0.11282529861289052588593745452429782509065053733623312492591388954523i"
2,2,1,0.5,"-0.05177506455633104358296995528737204508541856914913869320790211184099 - 0.13572039100347163301937272016820813170410078854772556014457918218125i"
2,2,1,0.55,"-0.05959470991149674900703083126576379607323705287409012502876879204146 - 0.16297061684367773870308873582242412748928229770580939767519803188926i"
2,2,1,0.6,"-0.068817288173165792011600635037818425875244398822331059456981396092 - 0.1960908201958728499320932659648324938051552381517968951047409831468i"
2,2,1,0.65,"-0.0803612277589059666983058147312487396285000128520156427951063337232 - 0.2374369591349150743703346081234911387424724000564393575911854277122i"
2,2,1,0.7,"-0.0959809944912331828195139422678982054559166304618553752924153322934 - 0.290897353598392169656710099219283707861365819948274761068559664468i"
2,2,1,0.75,"-0.1192405160179714992254072134931458518355289244372036010272959168105 - 0.3633966359094141201957648983830502852618244865426499750757717040695i"
2,2,1,0.8,"-0.1580357987348009489043688913280031178586454181873357731741274588801 - 0.4685853692805113633348967594349804739804687776008639076581669447067i"
2,2,1,0.85,"-0.232266377219782566165480962474463350582994264222872828936367466962 - 0.637556050905684310848522194677169858502881416798371758088644903691i"
2,2,1,0.9,"-0.40382002691762537590194802134015356658942673896066758385712604155 - 0.959285964911769807523339182862653339307788314991122406428428691683i"
2,2,1,0.91,"-0.464787970597538533584653115356450433255590256955446503915842455313 - 1.062599047890876805250884159679696921711520204725499695354067027061i"
2,2,1,0.92,"-0.542321999877207875465023736884521097819573724187362137319926202997 - 1.189262458190550983138402949789383451962371162057635774603890716397i"
2,2,1,0.93,"-0.64317324730554395678575606576151447426110346139624635818254201463 - 1.3483039551956873118234701286808404804010763008851687214142862888i"
2,2,1,0.94,"-0.77814831499418686555519846895498017731498910089153931958544899356 - 1.55414397258551589036082309837456517158360148882162172972309698804i"
2,2,1,0.95,"-0.96569460876288898597322872293750568299952802405501831312637527877 - 1.83141485845744917071425957846762064581968646488155890959246251352i"
2,2,1,0.96,"-1.24019877733280286583498858455126532315097655686453384778911250314 - 2.22622318653726072994511543801024255852480394194845794765660597473i"
2,2,1,0.97,"-1.67454609040883206192548284711401324703133518804644500066277447881 - 2.83716223426537473757680706050037978322662623136818942025423422658i"
2,2,1,0.98,"-2.4590097416364426065436927062824845216977943558712263185623043085 - 3.9256715868046783383449488215913832780366995438596937807905359917i"
2,2,1,0.99,"-4.3466251284772486692975967690845328440349594850371718704305121611 - 6.5555121565410945548503705196411945616428664736509812110781875666i"
